name,url_name,Birth Date,Death Date,Birth place,Death place,Nationality,Art Movement,Genre,Field,Influenced by,Influenced on,Wikipedia,Painting School,Official site,Friends and Co-workers,Family and Relatives,Pupils,Teachers,Art institution
Katrien De Blauwer,katrien-de-blauwer,1969,,Belgium,,Belgian,Contemporary|Feminist Art,,collage,,,http://www.katriendeblauwer.com/,,www.katriendeblauwer.com,,,,,
Boushra Yahya Almutawakel,boushra-yahya-almutawakel,1969,,Yemen,,Yemenis,Contemporary|Feminist Art,photo,photography,,,https://en.wikipedia.org/wiki/Boushra_Almutawakel,,www.boushraart.com,,,,,
Cindy Sherman,cindy-sherman,19-Jan-54,,"Glen Ridge, New Jersey, United States",,American,Feminist Art|Conceptual Art,self-portrait,photography,,,https://en.wikipedia.org/wiki/Cindy_Sherman,Pictures Generation,,,,,,
Harmony Hammond,harmony-hammond,8-Feb-44,,"Chicago, Illinois, United States",,American,Feminist Art|Post-Minimalism,installation|tapestry,painting|sculpture|installation,,,https://en.wikipedia.org/wiki/Harmony_Hammond,,,,,,,
Lorna Simpson,lorna-simpson,13-Aug-60,,"Brooklyn, New York City, United States",,American,Conceptual Art|Feminist Art|Postcolonial art,photo|video,photography|drawing|painting,,,https://en.wikipedia.org/wiki/Lorna_Simpson,,lsimpsonstudio.com,,,,,"School of Visual Arts (SVA), New York City, NY, US"
Maya Lin,maya-lin,5-Oct-59,,,,American,Post-Minimalism|Environmental Art (Land art),installation,sculpture|installation|design|architecture,,,https://en.wikipedia.org/wiki/Maya_Lin,,www.mayalin.com,,,,,
Kara Walker,kara-walker,26-Nov-69,,"Stockton, California, United States",,American,Feminist Art|Postcolonial art,installation,installation|printmaking|painting,Andy Warhol|Otto Dix,,https://en.wikipedia.org/wiki/Kara_Walker,,www.karawalkerstudio.com,Chuck Close,,,,
Shadi Ghadirian,shadi-ghadirian,1974,,"Tehran / Tehran, Iran, Islamic Republic of",,Iranian,Contemporary|Feminist Art,photo,photography,,,https://en.wikipedia.org/wiki/Shadi_Ghadirian,,,,,,,
Pushpamala N,pushpamala-n,1956,,"Bangalore, India",,Indian,Conceptual Art|Feminist Art|Postcolonial art,photo|video,photography,,,https://en.wikipedia.org/wiki/Pushpamala_N.,,www.pushpamala.com,,,,,
Wangechi Mutu,wangechi-mutu,22-Jun-72,,,,American|Kenyan,Feminist Art|Postcolonial art,,painting|sculpture|installation|collage,,,https://en.wikipedia.org/wiki/Wangechi_Mutu,,,Njideka Akunyili Crosby,,,,
Samira Eskandarfar,samira-eskandarfar,1980,,"Tehran, Iran, Islamic Republic of",,Iranian,Neo-Figurative Art,,painting,,,,,,,,,,
Harmonia Rosales,harmonia-rosales,1984,,"Chicago, United States",,American,Feminist Art|Postcolonial art,,painting,High Renaissance,,https://en.wikipedia.org/wiki/Harmonia_Rosales,,www.harmoniarosales.com,,,,,
Carles Delclaux Is,carles-delclaux-is,29-Oct-51,,Spain,,Catalan,Contemporary|Fiber Art,tapestry,tapestry,,,https://en.wikipedia.org/wiki/Carles_Delclaux_Is,Catalan School of Tapestry,www.facebook.com,,,,,
Barbara Chase-Riboud,barbara-chase-riboud,26-Jun-39,,"Philadelphia, Pennsylvania, United States",,American,Fiber Art|Postcolonial art,sculpture,sculpture|painting|printmaking|drawing,,,https://en.wikipedia.org/wiki/Barbara_Chase-Riboud,,,,,,,
Rodrigo Franzao,rodrigo-franzao,27-Apr-82,,"São Paulo, Brazil",,Brazilian,Contemporary,abstract,sculpture|drawing|installation|digital art|photography|assemblage,,,https://en.wikipedia.org/wiki/Rodrigo_Franz%C3%A3o,,,,,,,
Jose Guadalupe Posada,jose-guadalupe-posada,"February 2, 1852",20-Jan-13,"Aguascalientes, Mexico","Mexico City, Mexico",Mexican,Modernismo,caricature,illustration|engraving,,Diego Rivera|Jose Clemente Orozco,https://en.wikipedia.org/wiki/Jos%C3%A9_Guadalupe_Posada,,www.posada-art-foundation.com,,,,,
Pedro Figari,pedro-figari,"June 29, 1861",24-Jul-38,"Montevideo, Uruguay","Montevideo, Uruguay",Uruguayan,Modernismo,interior|figurative,painting|art theory,,,https://en.wikipedia.org/wiki/Pedro_Figari,,www.museofigari.gub.uy,,,,,
Victor Brecheret,victor-brecheret,"December 15, 1894",17-Dec-55,"Farnese, Italy","San Paulo / São Paulo, Brazil",Italian|Brazilian,Modernism,sculpture,sculpture,,,https://en.wikipedia.org/wiki/Victor_Brecheret,,,,,,,
Martin Munkácsi,martin-munkacsi,"May 18, 1896",13-Jul-63,Hungary,"New York City, New York, United States",Hungarian|Jewish,Modernism,photo,photography,,Henri Cartier-Bresson,https://en.wikipedia.org/wiki/Martin_Munk%C3%A1csi,,,,,,,
Jesus Helguera,jesus-helguera,28-May-10,5-Dec-71,"Chihuahua, Mexico","Veracruz, Mexico",Mexican,Modernismo,,painting,,,https://en.wikipedia.org/wiki/Jes%C3%BAs_Helguera,,,,,,,
Rene Portocarrero,rene-portocarrero,24-Feb-12,7-Apr-85,"Cerro, La Havana, Cuba","La Habana, Cuba",Cuban,Modernismo,,painting|fresco|sculpture|design|illustration,,,https://en.wikipedia.org/wiki/Ren%C3%A9_Portocarrero,,,,,,,
Robert Filliou,robert-filliou,17-Jan-26,2-Dec-87,"Sauve, France","Les Eyzies, France",French,Mail Art|Neo-Dada|Conceptual Art,performance,sculpture|performance,,,https://en.wikipedia.org/wiki/Robert_Filliou,Fluxus,,,,,,
On Kawara,on-kawara,2-Jan-33,10-Jul-14,"Kariya, Aichi, Japan","New York City, New York, United States",American|Japanese,Mail Art|Conceptual Art,,painting|installation,,,https://en.wikipedia.org/wiki/On_Kawara,,,,,,,
August Natterer,august-natterer,1868,1933,"Ravensburg, Germany","Rottweil, Germany",German,Outsider art (Art brut),,painting|drawing,,,https://en.wikipedia.org/wiki/August_Natterer,,,,,,,
Adolf Wölfli,adolf-wolfli,"February 29, 1864",6-Nov-30,"Bern, Switzerland","Bern, Switzerland",Swiss,Outsider art (Art brut),,drawing|illustration,,,https://en.wikipedia.org/wiki/Adolf_W%C3%B6lfli,,,,,,,
Ruth Annaqtuusi Tulurialik,ruth-annaqtuusi-tulurialik,1934,,Canada,,Indigenous North Americans,Native Art|Outsider art (Art brut),,drawing,,,https://en.wikipedia.org/wiki/Ruth_Annaqtuusi_Tulurialik,,,,,,,
Forrest Bess,forrest-bess,5-Oct-11,10-Nov-77,"Bay City, Texas, United States","Bay City, Texas, United States",American,Abstract Expressionism|Outsider art (Art brut),,painting|drawing,,,https://en.wikipedia.org/wiki/Forrest_Bess,,,,,,,
Ralph Fasanella,ralph-fasanella,2-Sep-14,16-Dec-97,"The Bronx, New York, United States","Yonkers, United States",American,Outsider art (Art brut)|Naïve Art (Primitivism),cityscape,painting,,,https://en.wikipedia.org/wiki/Ralph_Fasanella,,www.fasanella.org,,,,,Self-taught
Willem van Genk,willem-van-genk,1927,12-May-05,"Voorburg, Netherlands",,Dutch,Outsider art (Art brut),,painting|sculpture,,,https://en.wikipedia.org/wiki/Willem_van_Genk,,,,,,,
Paul du Toit,paul-du-toit,31-Oct-65,,"Johannesburg, South Africa",,South African,Outsider art (Art brut),,painting|sculpture,,,https://en.wikipedia.org/wiki/Paul_du_Toit,,,,,,,
Chaibia Talal,chaibia-talal,1929,2004,,,Moroccan,Outsider art (Art brut),,painting,COBRA,,https://en.wikipedia.org/wiki/Cha%C3%AFbia_Talal,,chaibia.wordpress.com,,,,,Self-taught
Clementine Hunter,clementine-hunter,"December, 1886","January, 1988","Natchitoches / Natchitoches, United States","Natchitoches / Natchitoches, United States",American,Outsider art (Art brut)|Folk art,landscape,painting,,,https://en.wikipedia.org/wiki/Clementine_Hunter,,,,,,,
Alan Tellez,alan-tellez,21-Dec-88,,"Veracruz, Mexico",,Mexican,Outsider art (Art brut),,painting,Joan Miro|Pablo Picasso,,https://es.wikipedia.org/wiki/Alan_T%C3%A9llez,,alantellez.com,,,,,
Bernadette Resha,bernadette-resha,1989,,"Nashville, Tennessee, United States",,American,Outsider art (Art brut),,painting,,,http://www.bernadetteresha.com/,,www.bernadetteresha.com,,,,,
