url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/henri-de-toulouse-lautrec/seated-dancer-in-pink-tights-1890,1890,,1890,https://uploads3.wikiart.org/images/henri-de-toulouse-lautrec/seated-dancer-in-pink-tights-1890.jpg!Large.jpg,Post-Impressionism,genre painting,female-portraits|Sitting|Leg,oil|ink|cardboard,Private Collection,,,
https://www.wikiart.org/en/samuel-bak/warrior-1968,1968,,1968,https://uploads2.wikiart.org/images/samuel-bak/warrior-1968.jpg,Surrealism,portrait,Personal protective equipment,,,,,
https://www.wikiart.org/en/samuel-peploe/landscape-near-calvine,,,,https://uploads7.wikiart.org/images/samuel-peploe/landscape-near-calvine.jpg!Large.jpg,Post-Impressionism,landscape,Natural landscape|Sketch|Tree|Sky,,,,,
https://www.wikiart.org/en/tony-delap/untitled-1974,1974,,1974,https://uploads3.wikiart.org/images/tony-delap/untitled-1974.jpg,Minimalism,abstract,Blackboard,,,,,
https://www.wikiart.org/en/miriam-schapiro/blue-angel-1987,1987,,1987,https://uploads2.wikiart.org/images/miriam-schapiro/blue-angel-1987.jpg!Large.jpg,Feminist Art|Art Deco,portrait,Water|Sitting,,,,,
https://www.wikiart.org/en/valeria-trubina/last-drop-1994,1994,,1994,https://uploads1.wikiart.org/00249/images/valeria-trubina/last-drop-1994.jpg!Large.jpg,Transavantgarde|Neo-Expressionism,landscape,Stock photography|Sky,,,,,
https://www.wikiart.org/en/salvador-dali/study-of-a-female-nude,1962,,1962,https://uploads7.wikiart.org/images/salvador-dali/study-of-a-female-nude.jpg!Large.jpg,Expressionism,sketch and study,Figure drawing,,,Classic Period (1941-1989),,
https://www.wikiart.org/en/pierre-daura/self-portrait-with-easel,,,,https://uploads7.wikiart.org/images/pierre-daura/self-portrait-with-easel.jpg,Post-Impressionism,self-portrait,Head|Chin|Cheek,,,,,
https://www.wikiart.org/en/florin-maxa/combinatory-system-1973,1973,,1973,https://uploads6.wikiart.org/images/florin-maxa/combinatory-system-1973.jpg!Large.jpg,Op Art|Cyber Art,abstract,Pattern|monochrome|Line|Monochrome photography,,,,,
https://www.wikiart.org/en/jeff-koons/lady-gaga-s-artpop-album-cover-and-exhibited-artwork-at-gaga-s-artrave-in-the-brooklyn-navy-yard-2013,2013,,2013,https://uploads8.wikiart.org/00313/images/dzheff-kuns/79.png,Neo-Pop Art,design,,,,,,
