url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Theme,Period
https://www.wikiart.org/en/pablo-picasso/a-girl-from-avignon-1907,1907,,Naïve Art (Primitivism)|Cubism,https://uploads0.wikiart.org/images/pablo-picasso/a-girl-from-avignon-1907.jpg!Large.jpg,sketch and study,female-portraits|Sketch,1907,oil|canvas,,,,African Period
https://www.wikiart.org/en/zinaida-serebriakova/odalisque-1932,1932,,Expressionism,https://uploads6.wikiart.org/images/zinaida-serebriakova/odalisque-1932.jpg!Large.jpg,nude painting (nu),female-nude,1932,,,,,
https://www.wikiart.org/en/t-c-steele/clam-diggers-1902,1902,,Impressionism,https://uploads8.wikiart.org/images/t-c-steele/clam-diggers-1902.jpg!Large.jpg,landscape,group-portraits|seas-and-oceans|Shore|Sea|Sky|Coast|Ocean|Water|Beach,1902,oil|canvas,,,,
https://www.wikiart.org/en/odilon-redon/the-accused-1887,1887,,Symbolism,https://uploads0.wikiart.org/images/odilon-redon/the-accused-1887.jpg!Large.jpg,symbolic painting,prisons-and-prisoners|monochrome|1880s paintings from France,1887,charcoal|paper,"Museum of Modern Art (MoMA), New York City, NY, US",,,
https://www.wikiart.org/en/red-grooms/easter-parade-1994,1994,,Pop Art,https://uploads8.wikiart.org/00439/images/red-grooms/screenshot-2023-04-03-at-12-20-08-am.png!Large.png,sculpture,streets-and-squares|People,1994; United States|1994,collage|acrylic,,,,
https://www.wikiart.org/en/vincent-van-gogh/hind-legs-of-a-horse-1890,1890,Auvers-sur-oise,Post-Impressionism,https://uploads4.wikiart.org/images/vincent-van-gogh/hind-legs-of-a-horse-1890.jpg!Large.jpg,sketch and study,animals|horses|Sketch|Joint|Leg,"1890; Auvers-sur-oise, France|Auvers-sur-oise|1890",,,,,
https://www.wikiart.org/en/alexander-calder/horse-1928,1928,,Expressionism,https://uploads4.wikiart.org/00208/images/alexander-calder/horse-c-1928.jpg,sculpture,Horse,1928,,,,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930
https://www.wikiart.org/en/ralph-blakelock/woodland-vista,,,Tonalism,https://uploads1.wikiart.org/00302/images/ralph-blakelock/woodland-vista-met-ap49-116.jpg!Large.jpg,landscape,Sky|Atmospheric phenomenon|Brown|morning|Atmosphere|Evening|Tree,,,,,,
https://www.wikiart.org/en/karpo-trokhymenko/morning-1971,1971,,Socialist Realism,https://uploads8.wikiart.org/00125/images/karpo-trokhymenko/morning-1971.jpg!Large.jpg,landscape,Tree|Leaf,1971,,,,,
https://www.wikiart.org/en/yiannis-moralis/eroticon-1990,1990,,Abstract Art,https://uploads8.wikiart.org/images/yiannis-moralis/eroticon-1990.jpg,abstract,,1990,oil|canvas,,Eroticon,,
