url,Create Date,Create Location,Date,image_url,Style,Series,Genre,tags,Media,Location,Theme,Period
https://www.wikiart.org/en/gustave-moreau/male-nude-and-other-studies-1858,1858,,1858,https://uploads0.wikiart.org/images/gustave-moreau/male-nude-and-other-studies-1858.jpg!Large.jpg,Romanticism,,sketch and study,male-nude|designs-and-sketches|Figure drawing|Sketch|Leg|Arm|Human|Sitting,,"Musée National Gustave Moreau, Paris, France",,
https://www.wikiart.org/en/vincent-van-gogh/autumn-landscape-at-dusk-1885,1885,,1885|1885; Netherlands,https://uploads2.wikiart.org/images/vincent-van-gogh/autumn-landscape-at-dusk-1885(1).jpg!Large.jpg,Realism,,landscape,autumn|forests-and-trees|Nature|Natural environment|Tree|Natural landscape|Woodland|Dirt road|Forest|morning,oil|canvas,"Centraal Museum, Utrecht, Netherlands",,
https://www.wikiart.org/en/paul-gauguin/two-sisters-1892,1892,,1892|1892; French Polynesia,https://uploads3.wikiart.org/images/paul-gauguin/two-sisters-1892(1).jpg!Large.jpg,Post-Impressionism,,portrait,female-portraits|group-portraits,oil|canvas,"Hermitage Museum, Saint Petersburg, Russia",,1st Tahiti period
https://www.wikiart.org/en/helene-schjerfbeck/the-convalescent-1888,1888,,1888,https://uploads2.wikiart.org/images/helene-schjerfbeck/the-convalescent-1888.jpg!Large.jpg,Realism,,genre painting,,,"Ateneum, Helsinki, Finland",,
https://www.wikiart.org/en/marc-chagall/samson-kills-a-young-lion-judges-xiv-5-6,1956,,1956|c.1956; France,https://uploads6.wikiart.org/images/marc-chagall/samson-kills-a-young-lion-judges-xiv-5-6.jpg!Large.jpg,Naïve Art (Primitivism),Etchings for the Bible (1930-1939; 1952-1956),religious painting,animals|Samson|lions|Hebrew-Bible|Judaism|Sketch,etching|paper,,,
https://www.wikiart.org/en/martiros-sarian/piping-shepherd-1904,1904,,1904; Armenia|1904,https://uploads7.wikiart.org/images/martiros-saryan/piping-shepherd-1904.jpg!Large.jpg,Symbolism,,genre painting,animals|horses|shepherds,watercolor|paper,,,
https://www.wikiart.org/en/gerard-fromanger/marcel-portrait-de-marcel-duchamp-2007,2007,,2007,https://uploads8.wikiart.org/images/gerard-fromanger/marcel-portrait-de-marcel-duchamp-2007.jpg!Large.jpg,Pop Art,,portrait,Head|Organ|Line|Sketch|Human,,,,
https://www.wikiart.org/en/henri-matisse/my-room-at-the-beau-rivage-1918,1918,,1918,https://uploads7.wikiart.org/images/henri-matisse/my-room-at-the-beau-rivage-1918.jpg!Large.jpg,Expressionism,,interior,Room|Interior design|House,oil|canvas,,,
https://www.wikiart.org/en/cuno-amiet/bl-hende-b-ume-1922,1922,,1922,https://uploads1.wikiart.org/images/cuno-amiet/bl-hende-b-ume-1922.jpg!Large.jpg,Expressionism,,landscape,Tree|Plant|Woody plant,,,,
https://www.wikiart.org/en/willard-metcalf/buttercup-time,1920,,1920,https://uploads1.wikiart.org/images/willard-metcalf/buttercup-time.jpg!Large.jpg,Impressionism,,landscape,fields-and-plains|forests-and-trees|Sky|Meadow|Flower,,,,
