url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme
https://www.wikiart.org/en/fyodor-bronnikov/at-a-roadside-tavern-1868,1868,,1868,https://uploads4.wikiart.org/images/fyodor-bronnikov/at-a-roadside-tavern-1868.jpg!Large.jpg,Romanticism,genre painting,,,male-portraits|female-portraits|reading-and-writing|taverns-and-inns|Ciociaro Costume,,,
https://www.wikiart.org/en/friedrich-schroder-sonnenstern/die-mondmoderne-eva,,,,https://uploads2.wikiart.org/images/friedrich-schroder-sonnenstern/die-mondmoderne-eva.jpg,Art Brut,figurative,,,,,,
https://www.wikiart.org/en/vincent-van-gogh/woman-sitting-on-a-basket-with-head-in-hands-1883,1883,Haag / Den Haag / La Haye / The Hague,"Haag / Den Haag / La Haye / The Hague|1883|1883; Haag / Den Haag / La Haye / The Hague, Netherlands",https://uploads1.wikiart.org/images/vincent-van-gogh/woman-sitting-on-a-basket-with-head-in-hands-1883.jpg!Large.jpg,Realism,genre painting,chalk|paper,"Kröller-Müller Museum, Otterlo, Netherlands",characters-and-emotions|Lady,,,
https://www.wikiart.org/en/joan-ponc/suite-instruments-de-tortura-1956-3,1956,,1956,https://uploads6.wikiart.org/images/joan-ponc/suite-instruments-de-tortura-1956-3.jpg,Surrealism,still life,,,Still life photography,,,
https://www.wikiart.org/en/louise-bourgeois/the-ainu-tree,,,,https://uploads1.wikiart.org/images/louise-bourgeois/the-ainu-tree.jpg!Large.jpg,Confessional Art,symbolic painting,,,forests-and-trees,,,
https://www.wikiart.org/en/andreas-achenbach/landscape-with-a-farmhouse-and-a-torrent,,,,https://uploads6.wikiart.org/00313/images/andreas-achenbach/andreas-achenbach-landschaft-mit-bauernhaus-und-wildbach.jpg!Large.jpg,Romanticism,landscape,panel|oil,,Natural landscape|Nature|Bank|River|Sky,,,
https://www.wikiart.org/en/vincent-van-gogh/sunset-at-montmajour-1888,1888,,1888,https://uploads3.wikiart.org/images/vincent-van-gogh/sunset-at-montmajour-1888.jpg,Impressionism,landscape,,,Tree|Plant|Flower,,,
https://www.wikiart.org/en/georges-rouault/conferencier-1910,1910,,1910,https://uploads2.wikiart.org/00412/images/georges-rouault/screen-shot-2022-09-26-at-10-29-11-pm.png,Expressionism,portrait,,,,,,
https://www.wikiart.org/en/corneille/eva-1998,1998,,1998,https://uploads6.wikiart.org/images/corneille/eva-1998.jpg,Neo-Expressionism,mythological painting,,,Fictional character,,,
https://www.wikiart.org/en/boris-kustodiev/village-fair-1920,1920,,1920,https://uploads4.wikiart.org/images/boris-kustodiev/village-fair-1920.jpg!Large.jpg,Realism,genre painting,,,streets-and-squares|countryside|markets-and-shops,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-451,,,,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-214.jpg,Surrealism,symbolic painting,,,gates-and-towers,,,
https://www.wikiart.org/en/frank-holl/hope-1883,1883,,1883,https://uploads7.wikiart.org/00330/images/frank-holl/hmps-scag-296-001.jpg!Large.jpg,Realism,genre painting,oil|canvas,"Southampton City Art Gallery, Southampton, UK",,,,
https://www.wikiart.org/en/samuel-peploe/roses-in-a-blue-and-white-vase-black-background-1904,1904,,1904,https://uploads1.wikiart.org/images/samuel-peploe/roses-in-a-blue-and-white-vase-black-background-1904.jpg!Large.jpg,Post-Impressionism,flower painting,,,Still life photography|Garden roses|Flower,,,
https://www.wikiart.org/en/laddie-john-dill/light-sentence-6-1971,1971,,1971,https://uploads0.wikiart.org/images/laddie-john-dill/light-sentence-6-1971.jpg!Large.jpg,Light and Space,installation,,,Light|Lighting|Sky,,,
https://www.wikiart.org/en/paul-nash/void-of-war-1918,1918,,1918,https://uploads8.wikiart.org/00269/images/paul-nash/void-of-war-1918.jpg!Large.jpg,Expressionism,landscape,,,,,,WWI
https://www.wikiart.org/en/nyoman-masriadi/kena-gigi-uang-kembali-2006,2006,,2006,https://uploads4.wikiart.org/images/nyoman-masriadi/kena-gigi-uang-kembali-2006.jpg,Neo-Expressionism|Neo-Pop Art,portrait,,,Mouth|Fast food|Lip|Junk food,,,
https://www.wikiart.org/en/carmelo-arden-quin/peinture-madi-1946,1946,,1946,https://uploads8.wikiart.org/images/carmelo-arden-quin/peinture-madi-1946.jpg!Large.jpg,Concretism,abstract,,,Picture frame|Rectangle,,,
https://www.wikiart.org/en/charles-turner/richard-griffin-n-aldworth-neville-2nd-baron-braybrooke-1810-1,1810,,1810,https://uploads3.wikiart.org/images/charles-turner/richard-griffin-n-aldworth-neville-2nd-baron-braybrooke-1810-1.jpg!Large.jpg,Romanticism,portrait,,,Photograph|Lady|Gentleman|Stock photography,,,
https://www.wikiart.org/en/james-lee-byars/the-golden-box-for-speaking-1978,1978,,1978,https://uploads0.wikiart.org/images/james-lee-byars/the-golden-box-for-speaking-1978.jpg,Minimalism,sculpture,,,,,,
https://www.wikiart.org/en/konstantin-ivanovich-gorbatov/tiberia-1933,1933,,1933,https://uploads8.wikiart.org/00325/images/konstantin-ivanovich-gorbatov/konstantin-gorbatov-tiberia.jpg!Large.jpg,Post-Impressionism,cityscape,oil|canvas,,,,,
https://www.wikiart.org/en/frida-kahlo/fruits-of-the-earth-1938,1938,,1938,https://uploads1.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calder%C3%B3n-de-rivera/fruits-of-the-earth-1938.jpg!Large.jpg,Naïve Art (Primitivism),still life,oil|masonite,"Banco de México Collection, Mexico City, Mexico",fruits-and-vegetables|Food|Still life photography|Cuisine|Dish,,,
https://www.wikiart.org/en/sergey-ryabchenko/ugolok-moskvy-1957,1957,,1957,https://uploads3.wikiart.org/00164/images/sergey-ryabchenko/1957.jpg,Realism|Socialist Realism,cityscape,etching,,Moscow|History,,,
https://www.wikiart.org/en/pierre-auguste-renoir/landscape-near-cagnes-2,,,,https://uploads7.wikiart.org/images/pierre-auguste-renoir/landscape-near-cagnes-2.jpg!Large.jpg,Impressionism,landscape,oil|canvas,Private Collection,,,,
https://www.wikiart.org/en/wayne-thiebaud/chocolate-cake-1971,1971,,1971,https://uploads5.wikiart.org/images/wayne-thiebaud/chocolate-cake-1971.jpg!Large.jpg,Pop Art,still life,,,,,,
https://www.wikiart.org/en/bela-czobel/czobel-bela-daudet-1933-1933,1933,,1933,https://uploads1.wikiart.org/00387/images/bela-czobel/cz-bel-b-la-daudet-1933.JPG!Large.JPG,,portrait,,,,,,
https://www.wikiart.org/en/georgi-mashev/forest,,,,https://uploads0.wikiart.org/00242/images/georgi-mashev/screenshot-2019-06-26-at-11-29-33.jpg!Large.jpg,Post-Impressionism,landscape,,,,,,
https://www.wikiart.org/en/jammie-holmes/all-on-a-sunday-2020,2020,,2020,https://uploads7.wikiart.org/00320/images/jammie-holmes/all-on-a-sunday.jpg!Large.jpg,Neo-Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/martiros-sarian/lusik-saryan-1941,1941,,1941|1941; Armenia,https://uploads4.wikiart.org/images/martiros-saryan/lusik-saryan-1941.jpg!Large.jpg,Realism,portrait,,,female-portraits|furniture-and-decoration,,,
https://www.wikiart.org/en/malte-sonnenfeld/houston-versicherte-dass-dieses-mal-alles-besser-werden-wurde-oder-new-golgota-2017,2017,,2017; Germany|2017,https://uploads6.wikiart.org/00156/images/malte-sonnenfeld/houston-versicherte-acryl-auf-leinwand-100x140cm-2017.jpg!Large.jpg,Neo-Pop Art,figurative,acrylic|mixed media,,Symbol,,,
https://www.wikiart.org/en/john-leech/behind-the-scenes,,,,https://uploads8.wikiart.org/images/john-leech/behind-the-scenes.jpg!Large.jpg,Realism,illustration,,,Victorian fashion,"Mr. Punch's Railway Book, edited by J. A. Hammerton",,
https://www.wikiart.org/en/eduardo-arroyo/portrait-de-james-joyce-1992,1992,,1992,https://uploads5.wikiart.org/images/eduardo-arroyo/portrait-de-james-joyce-1992.jpg!Large.jpg,Expressionism|Pop Art,portrait,,,,,,
https://www.wikiart.org/en/eyvind-earle/paradise-1995,1995,,1995|1995; United States,https://uploads6.wikiart.org/images/eyvind-earle/paradise-1995.jpg!Large.jpg,Magic Realism,landscape,,,allegories-and-symbols|Eden|Natural landscape|Nature|Sky|Vegetation|Tree|Natural environment|Atmospheric phenomenon|morning|sunlight|Wilderness,,,
https://www.wikiart.org/en/henri-matisse/port-de-cherbourg-1918,1918,,1918,https://uploads2.wikiart.org/00187/images/henri-matisse/port-de-cherbourg-1918.jpg!Large.jpg,,landscape,,,Vehicle,,,
https://www.wikiart.org/en/gustav-klimt/the-beethoven-frieze-the-hostile-powers-far-wall-1902-1,1902,,1902,https://uploads5.wikiart.org/images/gustav-klimt/the-beethoven-frieze-the-hostile-powers-far-wall.jpg!Large.jpg,Art Nouveau (Modern),allegorical painting,,"Belvedere, Vienna, Austria",allegories-and-symbols,The Beethoven Frieze,Golden phase,
https://www.wikiart.org/en/giacomo-balla/black-and-white-futurist-forcefield-1916,1916,,1916|1916; Italy,https://uploads6.wikiart.org/images/giacomo-balla/black-and-white-futurist-forcefield-1916.jpg,Futurism,abstract,oil|canvas,,Leaf|Organism,,,
https://www.wikiart.org/en/raoul-dufy/men-fishing-1907,1907,,1907,https://uploads7.wikiart.org/images/raoul-dufy/men-fishing-1907.jpg!Large.jpg,Post-Impressionism,genre painting,oil|canvas,,moles-and-embankments|fishing|Water,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-1995-0,1995,,1995|1995; Poland,https://uploads1.wikiart.org/images/zdislav-beksinski/untitled-131.jpg!Large.jpg,Surrealism,symbolic painting,,,allegories-and-symbols|Religious item|Cross|Crucifix|Symbol,,,
https://www.wikiart.org/en/vasily-surikov/rooftops-in-winter,1885,Moscow,"Moscow|1885|c.1885; Moscow, Russian Federation",https://uploads3.wikiart.org/images/vasily-surikov/rooftops-in-winter.jpg,Realism,cityscape,oil|canvas,,winter|folk-architecture|House,,,
