url,Create Date,Create Location,image_url,Date,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/franz-stuck/lucifer,1890,,https://uploads6.wikiart.org/00129/images/franz-stuck/lucifer.jpg!Large.jpg,1890,Symbolism,religious painting,canvas|oil,Human,"National Gallery for Foreign Art, Sofia, Bulgaria",,,
https://www.wikiart.org/en/walasse-ting/summer-days-2008,2008,,https://uploads8.wikiart.org/images/walasse-ting/summer-days-2008.jpg,2008,Pop Art|Naïve Art (Primitivism),figurative,,Flower|Plant|Leaf|Tree|Flowering plant,,,,
https://www.wikiart.org/en/arkhip-kuindzhi/portrait-of-viktor-vasnetsov,,,https://uploads6.wikiart.org/images/arkhip-kuindzhi/portrait-of-viktor-vasnetsov.jpg!Large.jpg,,Realism,portrait,,male-portraits|famous-people|Face|Sketch|Head|Chin|Figure drawing|Forehead|Jaw,,,,
https://www.wikiart.org/en/frank-w-benson/the-benson-family-at-wooster-farm-north-haven-maine-1901,1901,,https://uploads7.wikiart.org/00191/images/frank-w-benson/frank-w-benson-the-benson-family-at-wooster-farm-north-haven-maine-1901.jpg,1901,Impressionism,genre painting,,,,,,
https://www.wikiart.org/en/odilon-redon/still-life-the-dream,1904,,https://uploads4.wikiart.org/images/odilon-redon/still-life-the-dream.jpg!Large.jpg,1904,Symbolism,symbolic painting,canvas|oil,allegories-and-symbols,Private Collection,,,
https://www.wikiart.org/en/kukryniksy/the-fascist-kennel-1941-1,1941,Moscow,https://uploads7.wikiart.org/images/kukryniksy/the-fascist-kennel-1941-1.jpg!Large.jpg,"1941; Moscow, Russian Federation|Moscow|1941",Socialist Realism,caricature,,famous-people|dogs|Fiction,,,,
https://www.wikiart.org/en/willi-baumeister/harps-1945,1945,,https://uploads6.wikiart.org/images/willi-baumeister/harps-1945.jpg,1945,Abstract Art,abstract,,Font|Text,,,,
https://www.wikiart.org/en/silviu-oravitzan/archangelic-field-2-1999,1999,Lugoj,https://uploads2.wikiart.org/images/silviu-oravitzan/archangelic-field-2-1999.jpg,"Lugoj|1999; Lugoj, Romania|1999",Neo-Orthodoxism,abstract,acrylic|paper,Orange|Pattern|Textile|Tile|Peach|Floor,,,,
https://www.wikiart.org/en/george-bouzianis/actress-1954,1954,,https://uploads0.wikiart.org/images/george-bousianis/actress-1954.jpg!Large.jpg,1954,Expressionism,portrait,canvas|oil,,"National Art Gallery (Alexandros Soutzos Museum), Athens, Greece",,,
https://www.wikiart.org/en/jules-alexandre-grun/untitled-8,,,https://uploads6.wikiart.org/00265/images/jules-alexandre-grun/cb27a0fdfafd.jpg!Large.jpg,,Post-Impressionism,poster,,,,,,
