url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/morris-graves/young-forest-pine-in-bloom-1947,1947,,Expressionism,https://uploads7.wikiart.org/images/morris-graves/young-forest-pine-in-bloom-1947.jpg!Large.jpg,figurative,,1947,,,,,
https://www.wikiart.org/en/helen-frankenthaler/swan-lake-2-1961,1961,,Abstract Expressionism|Lyrical Abstraction,https://uploads7.wikiart.org/images/helen-frankenthaler/swan-lake-2-1961.jpg!Large.jpg,abstract,World|Tree,1961,,,,,
https://www.wikiart.org/en/owen-jones/greek-no-2-the-various-forms-of-the-greek-fret,,,Art Nouveau (Modern),https://uploads1.wikiart.org/images/owen-jones/greek-no-2-the-various-forms-of-the-greek-fret.jpg!Large.jpg,design,Text|Brown|Font,,,,The Grammar of Ornament (1856),,
https://www.wikiart.org/en/edward-krasinski/intervention-red-nail-1994,1994,,Minimalism|Conceptual Art,https://uploads4.wikiart.org/images/edward-krasinski/intervention-red-nail-1994.jpg,installation,Shelf|Line,1994,,,,,
https://www.wikiart.org/en/louis-philippe-crepin/french-corvette-bayonnaise-boarding-hms-ambuscade-during-the-action-of-14-december-1798-detail,,,Romanticism,https://uploads8.wikiart.org/00266/images/louis-philippe-crepin/ambuscade-vs-bayonnaise-cr-pin-2.jpg,marina|battle painting,,,,,,,
https://www.wikiart.org/en/mario-prassinos/bouquet-1964,1964,,Art Informel,https://uploads7.wikiart.org/images/mario-prassinos/bouquet-1964.jpg,abstract,Tree,1964,,,,,
https://www.wikiart.org/en/rodrigo-franzao/substance-2-2015,2015,,Contemporary,https://uploads4.wikiart.org/00105/images/rodrigo-franzao/3-1.jpg!Large.jpg,abstract,,2015|2015; Brazil,paper|wire|acrylic,,,,
https://www.wikiart.org/en/jamie-wyeth/angus-study-1974,1974,,Contemporary Realism,https://uploads8.wikiart.org/images/jamie-wyeth/angus-study-1974.jpg!Large.jpg,animal painting,animals|cows,1974|1974; United States,,,,,
https://www.wikiart.org/en/gustave-moreau/salome-dancing-before-herod,1875,,Symbolism,https://uploads4.wikiart.org/images/gustave-moreau/salome-dancing-before-herod.jpg!Large.jpg,religious painting,Christianity|Salome|Herod|Textile,1875,oil|canvas,"Musée National Gustave Moreau, Paris, France",,,
https://www.wikiart.org/en/mario-schifano/albero-per-terra-1984,1984,,Art Informel,https://uploads6.wikiart.org/images/mario-schifano/albero-per-terra-1984.jpg,figurative,Tree|Woody plant|Leaf|Plant,1984,,,,,
https://www.wikiart.org/en/pellizza-da-volpedo/the-little-dead,1906,,Divisionism|Neo-Impressionism,https://uploads8.wikiart.org/00384/images/pellizza-da-volpedo/pellizza-da-volpedo-il-morticino-60-1-40.png!Large.png,genre painting,,1906,oil|canvas,"Musée d'Orsay, Paris, France",,,
https://www.wikiart.org/en/gaylen-gerber/untitled,,,Neo-Minimalism,https://uploads1.wikiart.org/images/gaylen-gerber/untitled.jpg,abstract,,,,,,,
https://www.wikiart.org/en/alan-lee/the-trolls-see-the-dawn,,,Fantasy Art,https://uploads1.wikiart.org/00221/images/alan-lee/the-trolls-see-the-dawn-alan-lee.jpg!Large.jpg,illustration,Water|Mythology,,,,,,
https://www.wikiart.org/en/paul-gauguin/lollichon-field-1886,1886,Pont-aven,Post-Impressionism,https://uploads4.wikiart.org/images/paul-gauguin/lollichon-field-1886.jpg!Large.jpg,landscape,summer|cottages-and-farmhouses|folk-architecture|Natural landscape|Cliff|Terrain|Tree,"1886|Pont-aven|1886; Pont-aven, France",oil|canvas,"Los Angeles County Museum of Art (LACMA), Los Angeles, CA, US",,Breton period,
https://www.wikiart.org/en/herve-telemaque/blue-matisse-1986,1986,,Surrealism|Pop Art,https://uploads3.wikiart.org/images/herve-telemaque/blue-matisse-1986.jpg,abstract,Textile,1986,,,,,
https://www.wikiart.org/en/luis-alvare-roure/philip-glass,2016,,Classical Realism,https://uploads3.wikiart.org/00268/images/luis-alvare-roure/philip-glass.jpg!Large.jpg,portrait,,2016|2016; United States,oil,"National Portrait Gallery, Washington, DC, USA",,,
https://www.wikiart.org/en/amedeo-modigliani/portrait-of-chaim-soutine-1917,1917,Paris,Expressionism,https://uploads1.wikiart.org/images/amedeo-modigliani/portrait-of-chaim-soutine-1917.jpg!Large.jpg,portrait,male-portraits|famous-people|Chaime-Soutine,"1917; Paris, France|1917|Paris",oil|canvas,,,,
https://www.wikiart.org/en/jose-santiago-garnelo-y-alda/techo-del-palacio-real,,,Naturalism|Costumbrismo,https://uploads7.wikiart.org/00272/images/jose-santiago-garnelo-y-alda/techo-del-palacio-real.jpg!Large.jpg,interior,,,oil,,,,
https://www.wikiart.org/en/willard-metcalf/haystacks,1888,,Impressionism,https://uploads5.wikiart.org/images/willard-metcalf/haystacks.jpg!Large.jpg,landscape,forests-and-trees|cliffs-and-rocks|Natural landscape|Rock|Sky,1888,,,,,
https://www.wikiart.org/en/albert-bierstadt/hatch-hatchy-valley-california,,,Luminism,https://uploads0.wikiart.org/images/albert-bierstadt/hatch-hatchy-valley-california.jpg!Large.jpg,landscape,lakes-and-ponds|forests-and-trees|mountains|Nature|Tree|sunlight,,paper|oil,,,,
https://www.wikiart.org/en/gustave-singier/without-title-i-1942,1942,,Lyrical Abstraction,https://uploads7.wikiart.org/images/gustave-singier/without-title-i-1942.jpg!Large.jpg,abstract,Sketch,1942,lithography,,,,
https://www.wikiart.org/en/pablo-picasso/head-of-a-man-1,1913,,Synthetic Cubism,https://uploads0.wikiart.org/images/pablo-picasso/head-of-a-man-1.jpg!Large.jpg,portrait,male-portraits,1913,oil|canvas,"Thyssen-Bornemisza Museum, Madrid, Spain",,Cubist Period,
https://www.wikiart.org/en/charles-andre-van-loo-carle-van-loo/louis-xv-king-of-france-1748,1748,,Rococo,https://uploads0.wikiart.org/00296/images/charles-andre-van-loo-carle-van-loo/louis-xv-charles-van-loo.jpg!Large.jpg,portrait,,1748,oil|canvas,"Château de Versailles, Versailles, France",,,
https://www.wikiart.org/en/noe-bordignon/the-morning-meal,,,Realism,https://uploads7.wikiart.org/00325/images/noe-bordignon/2014-nyr-02862-0217-000-noe-bordignon-the-morning-meal041051.jpg!Large.jpg,genre painting,,,oil|canvas,,,,
https://www.wikiart.org/en/eug-ne-grasset/woman-science,,,Art Nouveau (Modern),https://uploads8.wikiart.org/images/eug-ne-grasset/woman-science.jpg!Large.jpg,allegorical painting,,,,,,,
https://www.wikiart.org/en/gustave-dore/hagar-and-ishmael-in-the-wilderness,,,Romanticism,https://uploads1.wikiart.org/images/gustave-dore/hagar-and-ishmael-in-the-wilderness.jpg!Large.jpg,religious painting,Christianity|Hagar|Ishmael|Photograph|Stock photography|Terrain|Sketch,,,,The Holy Bible,,
https://www.wikiart.org/en/josef-capek/devce-v-cervenem-klobouku-1915,1915,,Expressionism,https://uploads1.wikiart.org/00308/images/josef-capek/josef-apek-d-v-e-v-erven-m-klobouku-1915.jpg!Large.jpg,portrait,Headgear|Hat|Costume hat,1915,,,,,
https://www.wikiart.org/en/gustave-dore/don-quixote-102,,,Romanticism,https://uploads8.wikiart.org/images/gustave-dore/don-quixote-102.jpg!Large.jpg,illustration,fictional-characters|Don-Quixote|Sancho-Panza,,,,Don Quixote,,
https://www.wikiart.org/en/martin-benka/by-the-river-1915,1915,,Expressionism,https://uploads3.wikiart.org/00323/images/martin-benka/by-the-river.jpg!Large.jpg,landscape,,1915,oil,,,,Nature
https://www.wikiart.org/en/m-c-escher/four-regular-solids,1961,,Op Art,https://uploads1.wikiart.org/images/m-c-escher/four-regular-solids.jpg!Large.jpg,tessellation,Line,1961,,,,,
https://www.wikiart.org/en/david-cox/going-to-the-hayfield-1853,1853,,Romanticism,https://uploads7.wikiart.org/images/david-cox/going-to-the-hayfield-1853.jpg!Large.jpg,cloudscape,Sky|Cloud,1853,,,,,
https://www.wikiart.org/en/paul-serusier/the-flowered-barrier-1889,1889,Le Pouldu,Synthetism,https://uploads0.wikiart.org/images/paul-serusier/the-flowered-barrier-1889.jpg,genre painting,countryside|walking|Brittany,"Le Pouldu|1889; Le Pouldu, France|1889",oil|canvas,"Musée d'Orsay, Paris, France",,,
