url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Location,Media,Series,Period,Theme
https://www.wikiart.org/en/louis-comfort-tiffany/floor-standard-bamboo-design-dome-shape-1902,1902,,1902,https://uploads1.wikiart.org/images/louis-comfort-tiffany/floor-standard-bamboo-design-dome-shape-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Lampshade|Lighting accessory|Light fixture|Lamp|Lighting|Window,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/library-lamp-peony-design-1902,1902,,1902,https://uploads5.wikiart.org/images/louis-comfort-tiffany/library-lamp-peony-design-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Lampshade|Lighting accessory|Lamp|Light fixture|Window|Lighting,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1902-2,1902,,1902,https://uploads4.wikiart.org/images/louis-comfort-tiffany/vase-1902-2.jpg!Large.jpg,Art Nouveau (Modern),design|utensil,Ceramic|Vase|Pottery|Urn,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/favrile-vase-1903,1903,,1903,https://uploads1.wikiart.org/images/louis-comfort-tiffany/favrile-vase-1903.jpg!Large.jpg,Art Nouveau (Modern),design|utensil,,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/jack-in-the-pulpit-vase-1903,1903,,1903,https://uploads2.wikiart.org/images/louis-comfort-tiffany/jack-in-the-pulpit-vase-1903.jpg,Art Nouveau (Modern),design|utensil,,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/fountain-vase-1903,1903,,1903,https://uploads1.wikiart.org/images/louis-comfort-tiffany/fountain-vase-1903.jpg,Art Nouveau (Modern),design|utensil,Vase,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1903,1903,,1903,https://uploads1.wikiart.org/images/louis-comfort-tiffany/vase-1903.jpg,Art Nouveau (Modern),design|utensil,Vase|Leaf,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/hair-ornament-1904,1904,,1904,https://uploads2.wikiart.org/images/louis-comfort-tiffany/hair-ornament-1904.jpg!Large.jpg,Art Nouveau (Modern),design|jewelry,Wing|Nest|Twig|Hummingbird,,,Tiffany jewelry,,
https://www.wikiart.org/en/louis-comfort-tiffany/necklace-1904,1904,,1904,https://uploads6.wikiart.org/images/louis-comfort-tiffany/necklace-1904.jpg!Large.jpg,Art Nouveau (Modern),design|jewelry,Jewellery|Fashion accessory|Body jewelry|Necklace|Jewelry making,,,Tiffany jewelry,,
https://www.wikiart.org/en/louis-comfort-tiffany/angel-of-the-resurrection-1904,1904,,1904,https://uploads5.wikiart.org/images/louis-comfort-tiffany/angel-of-the-resurrection-1904.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Holy places|Gothic architecture,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/inkstand-1904,1904,,1904,https://uploads5.wikiart.org/images/louis-comfort-tiffany/inkstand-1904.jpg,Art Nouveau (Modern),design,,,,,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1904,1904,,1904,https://uploads2.wikiart.org/images/louis-comfort-tiffany/vase-1904.jpg!Large.jpg,Art Nouveau (Modern),design|utensil,Ceramic|Vase|Leaf|Pottery|Flowerpot,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1904-1,1904,,1904,https://uploads4.wikiart.org/images/louis-comfort-tiffany/vase-1904-1.jpg!Large.jpg,Art Nouveau (Modern),design|utensil,Vase|Ceramic,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1904-2,1904,,1904,https://uploads3.wikiart.org/images/louis-comfort-tiffany/vase-1904-2.jpg,Art Nouveau (Modern),design|utensil,Vase|Ceramic|Pottery|Still life photography|Calabash,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1904-3,1904,,1904,https://uploads4.wikiart.org/images/louis-comfort-tiffany/vase-1904-3.jpg!Large.jpg,Art Nouveau (Modern),design|utensil,Ceramic|Pottery|Still life photography|Serveware|Vase|Tableware,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/loggia-from-laurelton-hall-oyster-bay-new-york-1905,1905,,1905,https://uploads8.wikiart.org/images/louis-comfort-tiffany/loggia-from-laurelton-hall-oyster-bay-new-york-1905.jpg!Large.jpg,Art Nouveau (Modern),design,Building|Column|Arch,,,,,
