url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Period,Media,Theme,Location,Series
https://www.wikiart.org/en/edwin-henry-landseer/elizabeth-vassall-fox-lady-holland-henry-richard-vassall-fox-3rd-baron-holland-mrs-brown,,,https://uploads8.wikiart.org/images/edwin-henry-landseer/elizabeth-vassall-fox-lady-holland-henry-richard-vassall-fox-3rd-baron-holland-mrs-brown.jpg!Large.jpg,,Romanticism,sketch and study,female-portraits|Sketch,,,,,
https://www.wikiart.org/en/victor-zaretsky/young-moon-1982,1982,,https://uploads0.wikiart.org/00126/images/victor-zaretsky/young-moon-1982.jpg!Large.jpg,1982,Expressionism,landscape,Atmospheric phenomenon|morning|Bank,,,,,
https://www.wikiart.org/en/max-ernst/illustration-to-a-week-of-kindness-1934-94,1934,Paris,https://uploads5.wikiart.org/images/max-ernst/illustration-to-a-week-of-kindness-1934-94.jpg!Large.jpg,"1934; Paris, France|Paris|1934",Surrealism,illustration,allegories-and-symbols|Stock photography,First French period,paper|collage,,"Staatsgalerie Stuttgart, Stuttgart, Germany","""A Week of Kindness"""
https://www.wikiart.org/en/jean-leon-gerome/the-arab-and-his-steed,1872,,https://uploads1.wikiart.org/images/jean-leon-gerome/the-arab-and-his-steed.jpg!Large.jpg,1872,Orientalism,genre painting,animals|deserts-and-steppes|horses|Camel|Desert|Natural environment|Arabian camel|Ecoregion|Camelid,,,,,
https://www.wikiart.org/en/camille-pissarro/the-pont-neuf-rainy-afternoon-1901,1901,,https://uploads4.wikiart.org/images/camille-pissarro/the-pont-neuf-rainy-afternoon-1901.jpg!Large.jpg,1901,Impressionism,cityscape,Holy places|Building,,oil|canvas,,Private Collection,
https://www.wikiart.org/en/charles-de-steuben/andalousienne,,,https://uploads6.wikiart.org/00258/images/charles-de-steuben/steuben-carl-von.jpg,,Romanticism,portrait,Lady,,oil,,,
https://www.wikiart.org/en/raoul-dufy/villerville,,,https://uploads2.wikiart.org/images/raoul-dufy/villerville.jpg!Large.jpg,,Naïve Art (Primitivism),landscape,seas-and-oceans|forests-and-trees,,,,,
https://www.wikiart.org/en/gustave-boulanger/the-flute-concert,,,https://uploads7.wikiart.org/00340/images/gustave-boulanger/gustave-boulanger-the-flute-concert1.jpg!Large.jpg,,Academicism,genre painting,Scene,,,,,
https://www.wikiart.org/en/hiro-yamagata/balloon-race-1990,1990,,https://uploads2.wikiart.org/images/hiro-yamagata/balloon-race-1990.jpg!Large.jpg,1990,Pop Art,cityscape,Hot air ballooning|Hot air balloon|Mode of transport|Vehicle|Air sports|Sky|Recreation|Leisure,,,,,
https://www.wikiart.org/en/michel-blazy/fontaine-2012,2012,,https://uploads5.wikiart.org/images/michel-blazy/fontaine-2012.jpg,2012,Junk Art,sculpture,Vase|Beige,,,,,
https://www.wikiart.org/en/henry-ossawa-tanner/study-of-a-negro-man-1893,1893,,https://uploads7.wikiart.org/images/henry-ossawa-tanner/study-of-a-negro-man-1893.jpg!Large.jpg,1893,Realism,sketch and study,Sketch|Barechested|Male|Figure drawing|Chest|Chin|Human|Standing,,,,,
https://www.wikiart.org/en/eyvind-earle/saguaro-1987,1987,,https://uploads5.wikiart.org/images/eyvind-earle/saguaro-1987.jpg!Large.jpg,1987|1987; United States,Magic Realism,landscape,allegories-and-symbols|Sky,,,,,
https://www.wikiart.org/en/paul-gauguin/tahitian-village-1892,1892,,https://uploads5.wikiart.org/images/paul-gauguin/tahitian-village-1892.jpg!Large.jpg,1892|1892; French Polynesia,Cloisonnism,landscape,cottages-and-farmhouses|forests-and-trees|walking|Tree|Grass,1st Tahiti period,oil|canvas,,"Ny Carlsberg Glyptotek, Copenhagen, Denmark",
https://www.wikiart.org/en/paul-klee/phenix,1939,,https://uploads8.wikiart.org/images/paul-klee/phenix(1).jpg!Large.jpg,1939,Surrealism,genre painting,animals|cocks,,,,,
https://www.wikiart.org/en/auguste-herbin/portrait-de-jeune-fille-1907,1907,,https://uploads5.wikiart.org/images/auguste-herbin/portrait-de-jeune-fille-1907.jpg!Large.jpg,1907,Fauvism,portrait,,,,,,
https://www.wikiart.org/en/alexandre-cabanel/self-portrait-as-a-child-1836,1836,,https://uploads0.wikiart.org/00396/images/alexandre-cabanel/display-image-2.jpg!Large.jpg,1836,Academicism,self-portrait,self-portrait|children portraits|male-portraits,,oil|canvas,,"Musée Fabre, Montpellier, France",
https://www.wikiart.org/en/pablo-picasso/sleeping-woman-meditation-1904,1904,,https://uploads6.wikiart.org/images/pablo-picasso/sleeping-woman-meditation-1904.jpg!Large.jpg,1904,Post-Impressionism,genre painting,couples|leisure-and-sleep,Rose Period,ink|watercolor,,,
https://www.wikiart.org/en/dorothea-tanning/on-avalon-1987,1987,,https://uploads1.wikiart.org/images/dorothea-tanning/on-avalon-1987.jpg,1987,Surrealism,figurative,Organism,,,,,
https://www.wikiart.org/en/felix-vallotton/houses-and-reeds-1924,1924,,https://uploads8.wikiart.org/images/felix-vallotton/houses-and-reeds-1924.jpg!Large.jpg,1924,Magic Realism,landscape,houses-and-buildings|forests-and-trees|Grass family|Rural area,,oil,,"Strasbourg Museum of Modern and Contemporary Art, Strasbourg, France",
https://www.wikiart.org/en/gene-davis/wall-stripes-no-3-1962,1962,,https://uploads3.wikiart.org/images/gene-davis/wall-stripes-no-3-1962.jpg,1962,Color Field Painting,abstract,Line,,acrylic|canvas,,,
https://www.wikiart.org/en/samuel-bak/surrealist-landscape,,,https://uploads1.wikiart.org/images/samuel-bak/surrealist-landscape.jpg,,Surrealism,landscape,Mythology,,,,,
