url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Theme,Period,Series
https://www.wikiart.org/en/george-dawe/portrait-of-yefim-i-chaplits,,,,https://uploads6.wikiart.org/00318/images/george-dawe/chaplits-yefim-ignatyevich.jpg!Large.jpg,Neoclassicism,portrait,male-portraits,,"Hermitage Museum, Saint Petersburg, Russia",,,
https://www.wikiart.org/en/konrad-zuse/growth,1984,,1984,https://uploads2.wikiart.org/00243/images/konrad-zuse/wachstum100.jpg,Kitsch,cityscape,Tree,oil,,,,
https://www.wikiart.org/en/glenn-brown/the-body-snatchers-1991,1991,,1991,https://uploads5.wikiart.org/images/glenn-brown/the-body-snatchers-1991.jpg,Abstract Expressionism,portrait,Eye|Organ|Tree,,,,,
https://www.wikiart.org/en/guo-xi/trees,,,,https://uploads1.wikiart.org/images/guo-xi/trees.jpg!Large.jpg,Ink and wash painting,landscape,Line,,,,,
https://www.wikiart.org/en/michel-seuphor/le-carillon-des-flandres-1954,1954,,1954,https://uploads6.wikiart.org/images/michel-seuphor/le-carillon-des-flandres-1954.jpg!Large.jpg,Abstract Art,abstract,Text|Water|Line,,,,,
https://www.wikiart.org/en/maurice-prendergast/lake-new-hampshire,1913,,1913,https://uploads0.wikiart.org/images/maurice-prendergast/lake-new-hampshire.jpg!Large.jpg,Post-Impressionism,landscape,lakes-and-ponds|Flower,watercolor|paper,Private Collection,,,
https://www.wikiart.org/en/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909-3,1909,,1909,https://uploads4.wikiart.org/images/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909-3.jpg!Large.jpg,Art Nouveau (Modern),design,Slavic-mythology|forests-and-trees|Nikolai-Rimsky-Korsakov|The-Golden-Cockerel,lithography,"Pushkin Museum, Moscow, Russia",,,The Golden Cockere
https://www.wikiart.org/en/mikalojus-ciurlionis/night,1905,,1905,https://uploads6.wikiart.org/images/mikalojus-ciurlionis/night.jpg!Large.jpg,Symbolism,symbolic painting,allegories-and-symbols|stars-and-planets|Brown,tempera|paper,,,,
https://www.wikiart.org/en/samuel-schwarz/zelfportret-aan-de-ezel-1940,1940,,1940,https://uploads1.wikiart.org/00114/images/samuel-schwarz/zelfportret-aan-de-ezel-1940.jpg,Expressionism,self-portrait,,,,,,
https://www.wikiart.org/en/marcel-janco/dada-landscape,,,,https://uploads5.wikiart.org/00337/images/marcel-janco/dada-landscape.jpg,Dada,abstract,,,,,,
https://www.wikiart.org/en/gustave-dore/bertram-de-born,,,,https://uploads8.wikiart.org/images/gustave-dore/bertram-de-born.jpg!Large.jpg,Romanticism,illustration,"fictional-characters|Dante|Virgil|Dante-Alighieri-""The-Divine-Comedy""|Stock photography|Tree",,,,,The Divine Comedy
https://www.wikiart.org/en/jahar-dasgupta/the-buddha,,,,https://uploads5.wikiart.org/images/jahar-dasgupta/the-buddha.jpg!Large.jpg,Fantastic Realism,religious painting,Buddha|Fictional character,,,,,
https://www.wikiart.org/en/julian-alden-weir/a-follower-of-grolier,,,,https://uploads1.wikiart.org/images/julian-alden-weir/a-follower-of-grolier.jpg!Large.jpg,Impressionism,portrait,female-portraits|reading-and-writing|Lady,oil|canvas,,,,
https://www.wikiart.org/en/george-stefanescu/selfportrait-1962,1962,Bucharest,"1962|1962; Bucharest, Romania|Bucharest",https://uploads4.wikiart.org/images/george-stefanescu-ramnic/selfportrait-1962.jpg!Large.jpg,Post-Impressionism,portrait,male-portraits|time-and-age|artists-and-models|characters-and-emotions|Face|Sketch|Head|Forehead,oil|cardboard,,,,
https://www.wikiart.org/en/jacek-yerka/fly-alarmowka-2004,2004,,2004|2004; Poland,https://uploads0.wikiart.org/images/jacek-yerka/fly-alarmowka-2004.jpg,Surrealism,animal painting,insects|fantastic-animals|Botany|house fly|Organism,,,,,
https://www.wikiart.org/en/joan-tuset/the-thinker-2013,2013,,2013,https://uploads5.wikiart.org/00305/images/joan-tuset/2013-the-thinker-3.jpg!Large.jpg,Neo-Figurative Art,sculpture,Statue|Figurine|Classical sculpture|Bronze sculpture|Monument|Stone carving,,,,,
https://www.wikiart.org/en/george-frederick-watts/robert-lowe-1st-viscount-sherbrooke,,,,https://uploads2.wikiart.org/images/george-frederick-watts/robert-lowe-1st-viscount-sherbrooke.jpg!Large.jpg,Academicism,portrait,male-portraits,,,,,
