url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Period,Media,Location,Theme,Series
https://www.wikiart.org/en/benny-andrews/circle-study-15-1972,1972,,1972,https://uploads3.wikiart.org/00168/images/benny-andrews/andrews-circle-study-15-image-only.jpg!Large.jpg,Figurative Expressionism,sketch and study,,,ink|pen|paper,,,
https://www.wikiart.org/en/james-ensor/pierrot-lunaire,1893,,1893,https://uploads0.wikiart.org/00115/images/james-ensor/pierrot-lunaire-1893.jpg!Large.jpg,Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/theo-van-rysselberghe/portrait-of-emile-verhaeren-1892,1892,,1892,https://uploads7.wikiart.org/images/theo-van-rysselberghe/portrait-of-emile-verhaeren-1892.jpg!Large.jpg,Pointillism|Neo-Impressionism,portrait,male-portraits,,charcoal|paper,Private Collection,,
https://www.wikiart.org/en/max-pechstein/die-l-wenb-ndigerin-1920,1920,,1920,https://uploads0.wikiart.org/images/max-pechstein/die-l-wenb-ndigerin-1920.jpg!Large.jpg,Expressionism,animal painting,,,,,,
https://www.wikiart.org/en/richard-gerstl/schonberg-family,1908,,1908,https://uploads5.wikiart.org/images/richard-gerstl/schonberg-family(1).jpg!Large.jpg,Expressionism,portrait,male-portraits|famous-people|family-portraits|female-portraits|children portraits,,canvas|oil,"Museum Moderner Kunst Stiftung Ludwig Wien (MUMOK), Vienna, Austria",,
https://www.wikiart.org/en/vladimir-makovsky/peasant-boys-1880,1880,,1880|1880; Russian Federation,https://uploads6.wikiart.org/images/vladimir-makovsky/peasant-boys-1880.jpg!Large.jpg,Realism,genre painting,children|countryside,,canvas|oil,"Tretyakov Gallery, Moscow, Russia",,
https://www.wikiart.org/en/ion-bitzan/the-magic-square-1975-1,1975,,1975,https://uploads5.wikiart.org/images/ion-bitzan/the-magic-square-1975(1).jpg,Conceptual Art,figurative,Photograph,,,,,
https://www.wikiart.org/en/henri-matisse/nude-with-a-green-shawl-1922,1922,,1922,https://uploads3.wikiart.org/00135/images/henri-matisse/nude-with-a-green-shawl-1922.jpg!Large.jpg,Fauvism,nude painting (nu),,,,,,
https://www.wikiart.org/en/pierre-paul-prud-hon/seated-male-nude,1800,,c.1800; France|1800,https://uploads8.wikiart.org/images/pierre-paul-prud-hon/seated-male-nude.jpg!Large.jpg,Neoclassicism,nude painting (nu),male-nude|Figure drawing|Male|Sketch|Muscle|Arm|Trunk|Leg,,,,,
https://www.wikiart.org/en/raoul-dufy/trees-at-estaque-1908,1908,,1908,https://uploads3.wikiart.org/images/raoul-dufy/trees-at-estaque-1908.jpg!Large.jpg,Cubism,landscape,Estaque|forests-and-trees,,,,,
